OBJECTID,PROVINCE,CATEGORY,CAT2,CAT_B,MUNICNAME,NAMECODE,MAP_TITLE,DISTRICT,DISTRICT_N,DATE
190,WC,B,Local Municipality,WC014,Saldanha Bay,Saldanha Bay (WC014),Saldanha Bay Local Municipality,DC1,West Coast,2019/06/25
193,WC,B,Local Municipality,WC015,Swartland,Swartland (WC015),Swartland Local Municipality,DC1,West Coast,2019/06/25
197,WC,B,Local Municipality,WC032,Overstrand,Overstrand (WC032),Overstrand Local Municipality,DC3,Overberg,2019/06/25
198,WC,A,Metropolitan Municipality,CPT,City of Cape Town,City of Cape Town (CPT),City of Cape Town Metropolitan Municipality,CPT,City of Cape Town,2019/06/25
200,LIM,B,Local Municipality,LIM351,Blouberg,Blouberg (LIM351),Blouberg Local Municipality,DC35,Capricorn,2019/06/25
201,LIM,B,Local Municipality,LIM353,Molemole,Molemole (LIM353),Molemole Local Municipality,DC35,Capricorn,2019/06/25
202,LIM,B,Local Municipality,LIM354,Polokwane,Polokwane (LIM354),Polokwane Local Municipality,DC35,Capricorn,2019/06/25
203,LIM,B,Local Municipality,LIM368,Modimolle-Mookgophong,Modimolle-Mookgophong (LIM368),Modimolle-Mookgophong Local Municipality,DC36,Waterberg,2019/06/25
204,LIM,B,Local Municipality,LIM476,Fetakgomo Tubatse,Fetakgomo Tubatse (LIM476),Fetakgomo Tubatse Local Municipality,DC47,Sekhukhune,2019/06/25
205,LIM,B,Local Municipality,LIM341,Musina,Musina (LIM341),Musina Local Municipality,DC34,Vhembe,2019/06/25
206,LIM,B,Local Municipality,LIM343,Thulamela,Thulamela (LIM343),Thulamela Local Municipality,DC34,Vhembe,2019/06/25
207,LIM,B,Local Municipality,LIM344,Makhado,Makhado (LIM344),Makhado Local Municipality,DC34,Vhembe,2019/06/25
208,LIM,B,Local Municipality,LIM345,Collins Chabane,Collins Chabane (LIM345),Collins Chabane Local Municipality,DC34,Vhembe,2019/06/25
209,NC,B,Local Municipality,NC087,Dawid Kruiper,Dawid Kruiper (NC087),Dawid Kruiper Local Municipality,DC8,Z F Mgcawu,2019/06/25
210,MP,B,Local Municipality,MP326,City of Mbombela,City of Mbombela (MP326),City of Mbombela Local Municipality,DC32,Ehlanzeni,2019/06/25
211,NW,B,Local Municipality,NW405,JB Marks,JB Marks (NW405),JB Marks Local Municipality,DC40,Dr Kenneth Kaunda,2019/06/25
212,FS,A,Metropolitan Municipality,MAN,Mangaung,Mangaung (MAN),Mangaung Metropolitan Municipality,MAN,Mangaung,2019/06/25
213,EC,B,Local Municipality,EC145,Walter Sisulu,Walter Sisulu (EC145),Walter Sisulu Local Municipality,DC14,Joe Gqabi,2019/06/25
214,EC,B,Local Municipality,EC139,Enoch Mgijima,Enoch Mgijima (EC139),Enoch Mgijima Local Municipality,DC13,Chris Hani,2019/06/25
215,EC,B,Local Municipality,EC129,Raymond Mhlaba,Raymond Mhlaba (EC129),Raymond Mhlaba Local Municipality,DC12,Amathole,2019/06/25
216,KZN,B,Local Municipality,KZN245,Umvoti,Umvoti (KZN245),Umvoti Local Municipality,DC24,Umzinyathi,2019/06/25
217,KZN,B,Local Municipality,KZN223,Mpofana,Mpofana (KZN223),Mpofana Local Municipality,DC22,Umgungundlovu,2019/06/25
218,GT,B,Local Municipality,GT423,Lesedi,Lesedi (GT423),Lesedi Local Municipality,DC42,Sedibeng,2019/06/25
219,GT,B,Local Municipality,GT422,Midvaal,Midvaal (GT422),Midvaal Local Municipality,DC42,Sedibeng,2019/06/25
220,GT,B,Local Municipality,GT421,Emfuleni,Emfuleni (GT421),Emfuleni Local Municipality,DC42,Sedibeng,2019/06/25
221,EC,B,Local Municipality,EC102,Blue Crane Route,Blue Crane Rout/ie (EC102),Blue Crane Route Local Municipality,DC10,Sarah Baartman,2019/06/25
222,GT,A,Metropolitan Municipality,JHB,City of Johannesburg,City of Johannesburg (JHB),City of Johannesburg Metropolitan Municipality,JHB,City of Johannesburg,2019/06/25
223,GT,A,Metropolitan Municipality,EKU,Ekurhuleni,Ekurhuleni (EKU),Ekurhuleni Metropolitan Municipality,EKU,Ekurhuleni,2019/06/25
