OBJECTID,PROVINCE,CATEGORY,CAT2,CAT_B,MUNICNAME,NAMECODE,MAP_TITLE,DISTRICT,DISTRICT_N,DATE
45,KZN,B,Local Municipality,KZN242,Nqutu,Nqutu (KZN242),Nqutu Local Municipality,DC24,Umzinyathi,2019/06/25
46,KZN,B,Local Municipality,KZN252,Newcastle,Newcastle (KZN252),Newcastle Local Municipality,DC25,Amajuba,2019/06/25
47,KZN,B,Local Municipality,KZN253,Emadlangeni,Emadlangeni (KZN253),Emadlangeni Local Municipality,DC25,Amajuba,2019/06/25
48,KZN,B,Local Municipality,KZN254,Dannhauser,Dannhauser (KZN254),Dannhauser Local Municipality,DC25,Amajuba,2019/06/25
49,KZN,B,Local Municipality,KZN261,eDumbe,eDumbe (KZN261),eDumbe Local Municipality,DC26,Zululand,2019/06/25
50,KZN,B,Local Municipality,KZN262,uPhongolo,uPhongolo (KZN262),UPhongolo Local Municipality,DC26,Zululand,2019/06/25
51,KZN,B,Local Municipality,KZN263,Abaqulusi,Abaqulusi (KZN263),Abaqulusi Local Municipality,DC26,Zululand,2019/06/25
52,KZN,B,Local Municipality,KZN265,Nongoma,Nongoma (KZN265),Nongoma Local Municipality,DC26,Zululand,2019/06/25
53,KZN,B,Local Municipality,KZN266,Ulundi,Ulundi (KZN266),Ulundi Local Municipality,DC26,Zululand,2019/06/25
54,KZN,B,Local Municipality,KZN271,Umhlabuyalingana,Umhlabuyalingana (KZN271),Umhlabuyalingana Local Municipality,DC27,Umkhanyakude,2019/06/25
55,KZN,B,Local Municipality,KZN272,Jozini,Jozini (KZN272),Jozini Local Municipality,DC27,Umkhanyakude,2019/06/25
56,KZN,B,Local Municipality,KZN275,Mtubatuba,Mtubatuba (KZN275),Mtubatuba Local Municipality,DC27,Umkhanyakude,2019/06/25
57,KZN,B,Local Municipality,KZN284,uMlalazi,uMlalazi (KZN284),uMlalazi Local Municipality,DC28,King Cetshwayo,2019/06/25
58,KZN,B,Local Municipality,KZN286,Nkandla,Nkandla (KZN286),Nkandla Local Municipality,DC28,King Cetshwayo,2019/06/25
59,KZN,B,Local Municipality,KZN291,Mandeni,Mandeni (KZN291),Mandeni Local Municipality,DC29,iLembe,2019/06/25
60,KZN,B,Local Municipality,KZN292,KwaDukuza,KwaDukuza (KZN292),KwaDukuza Local Municipality,DC29,iLembe,2019/06/25
61,KZN,B,Local Municipality,KZN293,Ndwedwe,Ndwedwe (KZN293),Ndwedwe Local Municipality,DC29,iLembe,2019/06/25
62,KZN,B,Local Municipality,KZN294,Maphumulo,Maphumulo (KZN294),Maphumulo Local Municipality,DC29,iLembe,2019/06/25
63,KZN,B,Local Municipality,KZN436,Dr Nkosazana Dlamini Zuma,Dr Nkosazana Dlamini Zuma (KZN436),Dr Nkosazana Dlamini Zuma Local Municipality,DC43,Harry Gwala,2019/06/25
64,KZN,B,Local Municipality,KZN434,Ubuhlebezwe,Ubuhlebezwe (KZN434),Ubuhlebezwe Local Municipality,DC43,Harry Gwala,2019/06/25
65,LIM,B,Local Municipality,LIM331,Greater Giyani,Greater Giyani (LIM331),Greater Giyani Local Municipality,DC33,Mopani,2019/06/25
66,LIM,B,Local Municipality,LIM332,Greater Letaba,Greater Letaba (LIM332),Greater Letaba Local Municipality,DC33,Mopani,2019/06/25
67,LIM,B,Local Municipality,LIM333,Greater Tzaneen,Greater Tzaneen (LIM333),Greater Tzaneen Local Municipality,DC33,Mopani,2019/06/25
68,LIM,B,Local Municipality,LIM334,Ba-Phalaborwa,Ba-Phalaborwa (LIM334),Ba-Phalaborwa Local Municipality,DC33,Mopani,2019/06/25
69,LIM,B,Local Municipality,LIM335,Maruleng,Maruleng (LIM335),Maruleng Local Municipality,DC33,Mopani,2019/06/25
70,LIM,B,Local Municipality,LIM355,Lepele-Nkumpi,Lepele-Nkumpi (LIM355),Lepele-Nkumpi Local Municipality,DC35,Capricorn,2019/06/25
71,LIM,B,Local Municipality,LIM361,Thabazimbi,Thabazimbi (LIM361),Thabazimbi Local Municipality,DC36,Waterberg,2019/06/25
72,LIM,B,Local Municipality,LIM362,Lephalale,Lephalale (LIM362),Lephalale Local Municipality,DC36,Waterberg,2019/06/25
73,LIM,B,Local Municipality,LIM366,Bela-Bela,Bela-Bela (LIM366),Bela-Bela Local Municipality,DC36,Waterberg,2019/06/25
74,LIM,B,Local Municipality,LIM367,Mogalakwena,Mogalakwena (LIM367),Mogalakwena Local Municipality,DC36,Waterberg,2019/06/25
75,LIM,B,Local Municipality,LIM471,Ephraim Mogale,Ephraim Mogale (LIM471),Ephraim Mogale Local Municipality,DC47,Sekhukhune,2019/06/25
76,LIM,B,Local Municipality,LIM472,Elias Motsoaledi,Elias Motsoaledi (LIM472),Elias Motsoaledi Local Municipality,DC47,Sekhukhune,2019/06/25
77,LIM,B,Local Municipality,LIM473,Makhuduthamaga,Makhuduthamaga (LIM473),Makhuduthamaga Local Municipality,DC47,Sekhukhune,2019/06/25
78,MP,B,Local Municipality,MP301,Chief Albert Luthuli,Chief Albert Luthuli (MP301),Chief Albert Luthuli Local Municipality,DC30,Gert Sibande,2019/06/25
79,MP,B,Local Municipality,MP302,Msukaligwa,Msukaligwa (MP302),Msukaligwa Local Municipality,DC30,Gert Sibande,2019/06/25
80,MP,B,Local Municipality,MP303,Mkhondo,Mkhondo (MP303),Mkhondo Local Municipality,DC30,Gert Sibande,2019/06/25
81,MP,B,Local Municipality,MP304,Dr Pixley Ka Isaka Seme,Dr Pixley Ka Isaka Seme (MP304),Dr Pixley Ka Isaka Seme Local Municipality,DC30,Gert Sibande,2019/06/25
82,MP,B,Local Municipality,MP305,Lekwa,Lekwa (MP305),Lekwa Local Municipality,DC30,Gert Sibande,2019/06/25
83,MP,B,Local Municipality,MP306,Dipaleseng,Dipaleseng (MP306),Dipaleseng Local Municipality,DC30,Gert Sibande,2019/06/25
84,MP,B,Local Municipality,MP307,Govan Mbeki,Govan Mbeki (MP307),Govan Mbeki Local Municipality,DC30,Gert Sibande,2019/06/25
85,MP,B,Local Municipality,MP311,Victor Khanye,Victor Khanye (MP311),Victor Khanye Local Municipality,DC31,Nkangala,2019/06/25
86,MP,B,Local Municipality,MP312,Emalahleni,Emalahleni (MP312),Emalahleni Local Municipality,DC31,Nkangala,2019/06/25
87,MP,B,Local Municipality,MP313,Steve Tshwete,Steve Tshwete (MP313),Steve Tshwete Local Municipality,DC31,Nkangala,2019/06/25
88,MP,B,Local Municipality,MP314,Emakhazeni,Emakhazeni (MP314),Emakhazeni Local Municipality,DC31,Nkangala,2019/06/25
89,MP,B,Local Municipality,MP315,Thembisile,Thembisile (MP315),Thembisile Local Municipality,DC31,Nkangala,2019/06/25
90,MP,B,Local Municipality,MP316,Dr JS Moroka,Dr JS Moroka (MP316),Dr JS Moroka Local Municipality,DC31,Nkangala,2019/06/25
91,MP,B,Local Municipality,MP321,Thaba Chweu,Thaba Chweu (MP321),Thaba Chweu Local Municipality,DC32,Ehlanzeni,2019/06/25
92,MP,B,Local Municipality,MP324,Nkomazi,Nkomazi (MP324),Nkomazi Local Municipality,DC32,Ehlanzeni,2019/06/25
93,NW,B,Local Municipality,NW371,Moretele,Moretele (NW371),Moretele Local Municipality,DC37,Bojanala,2019/06/25
94,NW,B,Local Municipality,NW372,Local Municipality of Madibeng,Local Municipality of Madibeng (NW372),Local Municipality of Madibeng,DC37,Bojanala,2019/06/25
95,NW,B,Local Municipality,NW373,Rustenburg,Rustenburg (NW373),Rustenburg Local Municipality,DC37,Bojanala,2019/06/25
96,NW,B,Local Municipality,NW374,Kgetlengrivier,Kgetlengrivier (NW374),Kgetlengrivier Local Municipality,DC37,Bojanala,2019/06/25
97,NW,B,Local Municipality,NW375,Moses Kotane,Moses Kotane (NW375),Moses Kotane Local Municipality,DC37,Bojanala,2019/06/25
98,NW,B,Local Municipality,NW381,Ratlou,Ratlou (NW381),Ratlou Local Municipality,DC38,Ngaka Modiri Molema,2019/06/25
99,NW,B,Local Municipality,NW382,Tswaing,Tswaing (NW382),Tswaing Local Municipality,DC38,Ngaka Modiri Molema,2019/06/25
100,NW,B,Local Municipality,NW383,Mafikeng,Mafikeng (NW383),Mafikeng Local Municipality,DC38,Ngaka Modiri Molema,2019/06/25
101,NW,B,Local Municipality,NW384,Ditsobotla,Ditsobotla (NW384),Ditsobotla Local Municipality,DC38,Ngaka Modiri Molema,2019/06/25
102,NW,B,Local Municipality,NW385,Ramotshere Moiloa,Ramotshere Moiloa (NW385),Ramotshere Moiloa Local Municipality,DC38,Ngaka Modiri Molema,2019/06/25
103,NW,B,Local Municipality,NW392,Naledi,Naledi (NW392),Naledi Local Municipality,DC39,Dr Ruth Segomotsi Mompati,2019/06/25
104,NW,B,Local Municipality,NW393,Mamusa,Mamusa (NW393),Mamusa Local Municipality,DC39,Dr Ruth Segomotsi Mompati,2019/06/25
105,NW,B,Local Municipality,NW394,Greater Taung,Greater Taung (NW394),Greater Taung Local Municipality,DC39,Dr Ruth Segomotsi Mompati,2019/06/25
106,NW,B,Local Municipality,NW396,Lekwa-Teemane,Lekwa-Teemane (NW396),Lekwa-Teemane Local Municipality,DC39,Dr Ruth Segomotsi Mompati,2019/06/25
107,NW,B,Local Municipality,NW397,Kagisano/Molopo,Kagisano/Molopo (NW397),Kagisano/Molopo Local Municipality,DC39,Dr Ruth Segomotsi Mompati,2019/06/25
108,NW,B,Local Municipality,NW403,City of Matlosana,City of Matlosana (NW403),City of Matlosana Local Municipality,DC40,Dr Kenneth Kaunda,2019/06/25
109,NW,B,Local Municipality,NW404,Maquassi Hills,Maquassi Hills (NW404),Maquassi Hills Local Municipality,DC40,Dr Kenneth Kaunda,2019/06/25
110,NC,B,Local Municipality,NC061,Richtersveld,Richtersveld (NC061),Richtersveld Local Municipality,DC6,Namakwa,2019/06/25
111,NC,B,Local Municipality,NC062,Nama Khoi,Nama Khoi (NC062),Nama Khoi Local Municipality,DC6,Namakwa,2019/06/25
112,NC,B,Local Municipality,NC064,Kamiesberg,Kamiesberg (NC064),Kamiesberg Local Municipality,DC6,Namakwa,2019/06/25
113,NC,B,Local Municipality,NC065,Hantam,Hantam (NC065),Hantam Local Municipality,DC6,Namakwa,2019/06/25
114,NC,B,Local Municipality,NC066,Karoo Hoogland,Karoo Hoogland (NC066),Karoo Hoogland Local Municipality,DC6,Namakwa,2019/06/25
115,NC,B,Local Municipality,NC067,Kh├ói-Ma,Kh├ói-Ma (NC067),Kh├ói-Ma Local Municipality,DC6,Namakwa,2019/06/25
116,NC,B,Local Municipality,NC071,Ubuntu,Ubuntu (NC071),Ubuntu Local Municipality,DC7,Pixley ka Seme,2019/06/25
117,NC,B,Local Municipality,NC072,Umsobomvu,Umsobomvu (NC072),Umsobomvu Local Municipality,DC7,Pixley ka Seme,2019/06/25
118,NC,B,Local Municipality,NC073,Emthanjeni,Emthanjeni (NC073),Emthanjeni Local Municipality,DC7,Pixley ka Seme,2019/06/25
119,NC,B,Local Municipality,NC074,Kareeberg,Kareeberg (NC074),Kareeberg Local Municipality,DC7,Pixley ka Seme,2019/06/25
120,NC,B,Local Municipality,NC075,Renosterberg,Renosterberg (NC075),Renosterberg Local Municipality,DC7,Pixley ka Seme,2019/06/25
121,NC,B,Local Municipality,NC076,Thembelihle,Thembelihle (NC076),Thembelihle Local Municipality,DC7,Pixley ka Seme,2019/06/25
122,NC,B,Local Municipality,NC077,Siyathemba,Siyathemba (NC077),Siyathemba Local Municipality,DC7,Pixley ka Seme,2019/06/25
123,NC,B,Local Municipality,NC078,Siyancuma,Siyancuma (NC078),Siyancuma Local Municipality,DC7,Pixley ka Seme,2019/06/25
124,NC,B,Local Municipality,NC082,Kai !Garib,Kai !Garib (NC082),Kai !Garib Local Municipality,DC8,Z F Mgcawu,2019/06/25
125,NC,B,Local Municipality,NC084,!Kheis,!Kheis (NC084),!Kheis Local Municipality,DC8,Z F Mgcawu,2019/06/25
126,NC,B,Local Municipality,NC085,Tsantsabane,Tsantsabane (NC085),Tsantsabane Local Municipality,DC8,Z F Mgcawu,2019/06/25
127,NC,B,Local Municipality,NC086,Kgatelopele,Kgatelopele (NC086),Kgatelopele Local Municipality,DC8,Z F Mgcawu,2019/06/25
128,NC,B,Local Municipality,NC091,Sol Plaatje,Sol Plaatje (NC091),Sol Plaatje Local Municipality,DC9,Frances Baard,2019/06/25
129,NC,B,Local Municipality,NC092,Dikgatlong,Dikgatlong (NC092),Dikgatlong Local Municipality,DC9,Frances Baard,2019/06/25
130,NC,B,Local Municipality,NC453,Gamagara,Gamagara (NC453),Gamagara Local Municipality,DC45,John Taolo Gaetsewe,2019/06/25
131,WC,B,Local Municipality,WC011,Matzikama,Matzikama (WC011),Matzikama Local Municipality,DC1,West Coast,2019/06/25
132,WC,B,Local Municipality,WC012,Cederberg,Cederberg (WC012),Cederberg Local Municipality,DC1,West Coast,2019/06/25
133,WC,B,Local Municipality,WC013,Bergrivier,Bergrivier (WC013),Bergrivier Local Municipality,DC1,West Coast,2019/06/25
134,WC,B,Local Municipality,WC022,Witzenberg,Witzenberg (WC022),Witzenberg Local Municipality,DC2,Cape Winelands,2019/06/25
135,WC,B,Local Municipality,WC023,Drakenstein,Drakenstein (WC023),Drakenstein Local Municipality,DC2,Cape Winelands,2019/06/25
136,WC,B,Local Municipality,WC025,Breede Valley,Breede Valley (WC025),Breede Valley Local Municipality,DC2,Cape Winelands,2019/06/25
137,WC,B,Local Municipality,WC026,Langeberg,Langeberg (WC026),Langeberg Local Municipality,DC2,Cape Winelands,2019/06/25
138,WC,B,Local Municipality,WC033,Cape Agulhas,Cape Agulhas (WC033),Cape Agulhas Local Municipality,DC3,Overberg,2019/06/25
139,WC,B,Local Municipality,WC034,Swellendam,Swellendam (WC034),Swellendam Local Municipality,DC3,Overberg,2019/06/25
140,WC,B,Local Municipality,WC041,Kannaland,Kannaland (WC041),Kannaland Local Municipality,DC4,Garden Route,2019/06/25
141,WC,B,Local Municipality,WC042,Hessequa,Hessequa (WC042),Hessequa Local Municipality,DC4,Garden Route,2019/06/25
142,WC,B,Local Municipality,WC043,Mossel Bay,Mossel Bay (WC043),Mossel Bay Local Municipality,DC4,Garden Route,2019/06/25
143,WC,B,Local Municipality,WC044,George,George (WC044),George Local Municipality,DC4,Garden Route,2019/06/25
144,WC,B,Local Municipality,WC045,Oudtshoorn,Oudtshoorn (WC045),Oudtshoorn Local Municipality,DC4,Garden Route,2019/06/25
145,WC,B,Local Municipality,WC047,Bitou,Bitou (WC047),Bitou Local Municipality,DC4,Garden Route,2019/06/25
146,WC,B,Local Municipality,WC048,Knysna,Knysna (WC048),Knysna Local Municipality,DC4,Garden Route,2019/06/25
147,WC,B,Local Municipality,WC051,Laingsburg,Laingsburg (WC051),Laingsburg Local Municipality,DC5,Central Karoo,2019/06/25
148,WC,B,Local Municipality,WC052,Prince Albert,Prince Albert (WC052),Prince Albert Local Municipality,DC5,Central Karoo,2019/06/25
149,WC,B,Local Municipality,WC053,Beaufort West,Beaufort West (WC053),Beaufort West Local Municipality,DC5,Central Karoo,2019/06/25
150,NC,B,Local Municipality,NC451,Joe Morolong,Joe Morolong (NC451),Joe Morolong Local Municipality,DC45,John Taolo Gaetsewe,2019/06/25
151,NC,B,Local Municipality,NC452,Ga-Segonyana,Ga-Segonyana (NC452),Ga-Segonyana Local Municipality,DC45,John Taolo Gaetsewe,2019/06/25
152,KZN,B,Local Municipality,KZN213,Umzumbe,Umzumbe (KZN213),Umzumbe Local Municipality,DC21,Ugu,2019/06/25
153,KZN,B,Local Municipality,KZN276,Big Five Hlabisa,Big Five Hlabisa (KZN276),Big Five Hlabisa Local Municipality,DC27,Umkhanyakude,2019/06/25
154,KZN,B,Local Municipality,KZN227,Richmond,Richmond (KZN227),Richmond Local Municipality,DC22,Umgungundlovu,2019/06/25
155,KZN,B,Local Municipality,KZN433,Greater Kokstad,Greater Kokstad (KZN433),Greater Kokstad Local Municipality,DC43,Harry Gwala,2019/06/25
156,KZN,B,Local Municipality,KZN435,Umzimkhulu,Umzimkhulu (KZN435),Umzimkhulu Local Municipality,DC43,Harry Gwala,2019/06/25
157,NC,B,Local Municipality,NC093,Magareng,Magareng (NC093),Magareng Local Municipality,DC9,Frances Baard,2019/06/25
158,NC,B,Local Municipality,NC094,Phokwane,Phokwane (NC094),Phokwane Local Municipality,DC9,Frances Baard,2019/06/25
