date,YYYYMMDD,EC,FS,GP,KZN,LP,MP,NC,NW,WC,UNKNOWN,total,source
03-01-2021,20210103,173592,63534,298068,213473,27489,38541,25913,41459,218679,0,1100748,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-03-jan-2021/
04-01-2021,20210104,174176,63740,301212,217432,28333,39045,26019,41735,221657,0,1113349,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-04-jan-2021/
05-01-2021,20210105,174853,63981,304420,223487,29265,39528,26095,42244,223886,0,1127759,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-05-jan-2021/
06-01-2021,20210106,175941,64409,310201,230283,30840,40751,26353,43159,227654,0,1149591,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-06-january-20210/
07-01-2021,20210107,177314,64925,315738,236177,32493,41927,26701,44255,231060,0,1170590,https://twitter.com/DrZweliMkhize/status/1347255065950760965
08-01-2021,20210108,178525,65516,322707,241740,34040,43364,27059,45075,234544,0,1192570,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-08-jan-2021/
09-01-2021,20210109,179713,66133,328925,247647,35813,44818,27383,45879,237865,0,1214176,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-09-jan-2021/
10-01-2021,20210110,180689,66760,333842,252115,37197,45894,27648,46451,241001,0,1231597,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-10-jan-2021/
11-01-2021,20210111,181532,67337,338071,255819,38878,46830,27973,47021,243182,0,1246643,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-11-jan-2021/
12-01-2021,20210112,182507,67581,341460,259100,40454,47549,28090,47581,245426,0,1259748,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-12-jan-2021/
13-01-2021,20210113,183594,68142,346482,264532,41847,48447,28382,48538,248339,0,1278303,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-13-jan-2021/
14-01-2021,20210114,184611,68758,350976,269632,43737,49943,28683,49359,251107,0,1296806,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-14-jan-2021/
15-01-2021,20210115,185377,69379,354892,273452,44969,50988,28965,50251,253413,0,1311686,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-15-jan-2021/
16-01-2021,20210116,186143,70040,358462,276794,46361,52105,29346,50881,255527,0,1325659,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-16-jan-2021/
17-01-2021,20210117,186771,70511,361881,279974,47207,53409,29558,51380,257235,0,1337926,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-17-jan-2021/
18-01-2021,20210118,187171,70891,364269,283176,48158,53843,29757,51547,258124,0,1346936,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-18-jan-2021/
19-01-2021,20210119,187552,71237,366432,287042,49012,54678,29894,51771,259098,0,1356716,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-19-jan-2021/
20-01-2021,20210120,188259,71734,370264,290356,49823,56063,30119,52316,260492,0,1369426,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-19-jan-2021-2
21-01-2021,20210121,188891,72230,373096,293013,51286,56875,30386,53091,261939,0,1380807,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-21-jan-2021/
22-01-2021,20210122,189559,72711,375761,295949,52847,58059,30568,53728,263386,0,1392568,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-22-jan-2021/
23-01-2021,20210123,190084,73324,378656,299740,53942,59291,30788,54366,264648,0,1404839,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-23-jan-2021/
24-01-2021,20210124,190402,73792,380381,302582,54362,60355,30960,54724,265428,0,1412986,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-24-jan-2021/
25-01-2021,20210125,190526,74118,381574,304155,54659,60877,31084,54881,265663,0,1417537,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-25-jan-2021/
26-01-2021,20210126,190833,74413,382907,306234,55384,61386,31154,55238,266029,0,1423578,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-26-jan-2021/
27-01-2021,20210127,191060,74865,384440,308176,56059,62047,31387,55591,267023,0,1430648,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-27-jan-2021/
28-01-2021,20210128,191327,75306,385706,310076,56691,63130,31599,56134,267829,0,1437798,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-28-jan-2021/
29-01-2021,20210129,191612,75657,386770,311877,57272,63892,31751,56601,268507,0,1443939,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-29-jan-2021/
30-01-2021,20210130,191856,75998,387673,313681,57677,64495,31851,56840,269165,0,1449236,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-30-jan-2021/
31-01-2021,20210131,191997,76279,388620,315033,57981,65054,32010,57154,269633,0,1453761,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-31-jan-2021/
01-02-2021,20210201,192118,76468,389230,315762,58176,65417,32057,57262,269819,0,1456309,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-1-feb-2021/
02-02-2021,20210202,192182,76613,389841,316780,58340,65649,32072,57408,270073,0,1458958,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-2-feb-2021/
03-02-2021,20210203,192330,76827,390890,317824,58573,66048,32184,57648,270692,0,1463016,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-3-feb-2021/
04-02-2021,20210204,192467,76997,391798,318797,58958,66350,32302,57911,271187,0,1466767,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-4-feb-2021/
05-02-2021,20210205,192579,77243,392794,319716,59262,66738,32426,58109,271649,0,1470516,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-5-feb-2021/
06-02-2021,20210206,192712,77453,393555,320579,59414,67148,32529,58297,272013,0,1473700,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-6-feb-2021/
07-02-2021,20210207,192794,77611,394240,321043,59662,67324,32628,58430,272403,0,1476135,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-7-feb-2021/
08-02-2021,20210208,192846,77699,394629,321367,59774,67515,32658,58497,272526,0,1477511,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-8-feb-2021/
09-02-2021,20210209,192894,77797,395125,321886,59885,67660,32684,58610,272712,0,1479253,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-9-feb-2021/
10-02-2021,20210210,193041,78031,395838,322575,60111,67967,32773,58891,273185,0,1482412,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-10-feb-2021/
11-02-2021,20210211,193146,78247,396560,323158,60270,68125,32862,59004,273528,0,1484900,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-11-feb-2021/
12-02-2021,20210212,193223,78409,397259,323839,60508,68422,32952,59156,273913,0,1487681,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-12-feb-2021/
13-02-2021,20210213,193278,78565,398005,324380,60632,68635,33049,59328,274191,0,1490063,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-13-feb-2021/
14-02-2021,20210214,193334,78658,398506,324754,60741,68768,33105,59428,274513,0,1491807,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-14-feb-2021/
15-02-2021,20210215,193357,78723,398796,324944,60792,69045,33140,59490,274622,0,1492909,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-15-feb-2021/
16-02-2021,20210216,193413,78756,399168,325279,60829,69157,33162,59618,274737,0,1494119,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-16-feb-2021/
17-02-2021,20210217,193487,78876,399922,325623,61030,69401,33211,59790,275099,0,1496439,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-17-feb-2021/
18-02-2021,20210218,193549,79049,400636,326031,61170,69613,33337,59948,275433,0,1498766,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-18-feb-2021/
19-02-2021,20210219,193597,79161,401219,326362,61260,69827,33434,60094,275723,0,1500677,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-19-feb-2021/
20-02-2021,20210220,193637,79313,401632,326703,61370,70011,33504,60214,275983,0,1502367,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-20-feb-2021/
21-02-2021,20210221,193682,79400,401995,327001,61463,70127,33585,60297,276246,0,1503796,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-21-feb-2021/
22-02-2021,20210222,193706,79449,402249,327186,61514,70207,33616,60335,276326,0,1504588,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-22-feb-2021/
23-02-2021,20210223,193725,79505,402538,327446,61599,70302,33636,60399,276436,0,1505586,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-23-feb-2021/
24-02-2021,20210224,193773,79641,403074,327760,61697,70511,33705,60541,276746,0,1507448,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-24-feb-2021/
25-02-2021,20210225,193815,79787,403528,328122,61781,70662,33792,60631,277006,0,1509124,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-25-feb-2021/
26-02-2021,20210226,193843,79906,403985,328496,61842,70823,33892,60752,277239,0,1510778,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-26-feb-2021/
27-02-2021,20210227,193880,79996,404335,328870,61910,70966,33946,60852,277470,0,1512225,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-27-feb-2021/
28-02-2021,20210228,193895,80065,404639,329163,61953,71083,34002,60925,277668,0,1513393,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-28-feb-2021/
01-03-2021,20210301,193909,80113,404785,329243,61972,71147,34039,60998,277753,0,1513959,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-1-mar-2021/
02-03-2021,20210302,193951,80174,405035,329421,61997,71265,34057,61070,277845,0,1514815,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-2-mar-2021/
03-03-2021,20210303,193982,80265,405463,329666,62087,71405,34118,61184,278092,0,1516262,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-3-mar-2021/
04-03-2021,20210304,194022,80389,405860,329909,62192,71525,34203,61264,278302,0,1517666,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-4-mar-2021/
05-03-2021,20210305,194053,80495,406198,330226,62257,71641,34260,61340,278509,0,1518979,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-5-mar-2021/
06-03-2021,20210306,194096,80572,406516,330412,62313,71833,34312,61442,278710,0,1520206,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-6-mar-2021/
07-03-2021,20210307,194115,80662,406729,330565,62335,71913,34363,61503,278883,0,1521068,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-7-mar-2021/
08-03-2021,20210308,194129,80680,406950,330678,62342,72021,34379,61556,278971,0,1521706,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-8-mar-2021/
09-03-2021,20210309,194147,80787,407289,330863,62375,72126,34407,61645,279058,0,1522697,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-9-mar-2021/
10-03-2021,20210310,194174,80924,407847,331026,62432,72273,34483,61769,279246,0,1524174,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-10-mar-2021/
11-03-2021,20210311,194197,81070,408255,331223,62485,72484,34565,61882,279487,0,1525648,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-11-mar-2021/
12-03-2021,20210312,194214,81181,408564,331394,62589,72682,34634,61962,279653,0,1526873,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-12-mar-2021/
13-03-2021,20210313,194314,81327,408921,331687,62650,72818,34718,62079,279900,0,1528414,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-13-mar-2021/
14-03-2021,20210314,194333,81414,409173,331854,62685,72878,34894,62158,280031,0,1529420,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-14-mar-2021/
15-03-2021,20210315,194342,81471,409404,331977,62693,72938,34931,62199,280078,0,1530033,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-15-mar-2021/
16-03-2021,20210316,194445,81540,409647,332094,62734,73087,34965,62246,280208,0,1530966,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-16-mar-2021/
17-03-2021,20210317,194555,81677,410060,332256,62776,73247,35098,62396,280432,0,1532497,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-17-mar-2021/
18-03-2021,20210318,194659,81821,410392,332445,62821,73416,35213,62520,280674,0,1533961,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-18-mar-2021/
19-03-2021,20210319,194761,81975,410787,332632,62849,73557,35325,62663,280874,0,1535423,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-19-mar-2021/
20-03-2021,20210320,194867,82091,411133,332812,62878,73695,35454,62777,281094,0,1536801,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-20-mar-2021/
21-03-2021,20210321,194886,82165,411428,332945,62892,73835,35622,62856,281223,0,1537852,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-21-mar-2021/
22-03-2021,20210322,194894,82241,411601,333021,62911,73903,35650,62923,281307,0,1538451,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-22-mar-2021/
23-03-2021,20210323,194903,82308,411777,333122,62921,73929,35670,62970,281361,0,1538961,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-23-mar-2021/
24-03-2021,20210324,195006,82404,412106,333207,62948,74037,35684,63086,281531,0,1540009,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-24-mar-2021/
25-03-2021,20210325,195114,82581,412539,333357,62999,74172,35783,63196,281822,0,1541563,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-25-mar-2021/
26-03-2021,20210326,195218,82751,412929,333474,63056,74356,35943,63325,282027,0,1543079,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-26-mar-2021/
27-03-2021,20210327,195329,82885,413265,333630,63084,74500,36035,63425,282313,0,1544466,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-27-mar-2021/
28-03-2021,20210328,195349,83006,413491,333748,63112,74659,36105,63521,282440,0,1545431,https://www.nicd.ac.za/latest-confirmed-cases-of-covid-19-in-south-africa-28-mar-2021/
