Province,District,Sub-district,Vaccination site,Address,Open days per week,Type
Eastern Cape,Amathole DM,Raymond Mhlaba LM,ec Upper Ncera Clinic,Upper Ncera Location Next To Upper Ncera Primary Alice,5 days,Public
Eastern Cape,Amathole DM,Raymond Mhlaba LM,ec Perksdale Clinic,Perksdale Village Debe Nek,5 days,Public
Eastern Cape,Amathole DM,Raymond Mhlaba LM,ec Qibira Clinic,Qibira Primary School Qibira Location,5 days,Public
Eastern Cape,Amathole DM,Raymond Mhlaba LM,ec Zigodlo Clinic,Mangconde Debe Nek,5 days,Public
Eastern Cape,Amathole DM,Raymond Mhlaba LM,ec Zihlahleni Clinic,Zihlahleni Location Near Lukhozi High School Debe Nek,5 days,Public
Eastern Cape,Amathole DM,Raymond Mhlaba LM,ec Mzamomhle Clinic (Bedford),Ntlama Street Nonzwakazi Location Bedoford,5 days,Public
Eastern Cape,Amathole DM,Raymond Mhlaba LM,ec Njwaxa Clinic,"Njwaxa Location,Middledrift",5 days,Public
Eastern Cape,Amathole DM,Raymond Mhlaba LM,ec Msobomvu Clinic,Next To Ngangelizwe High School. Msobomvu Location Alice,5 days,Public
Eastern Cape,Amathole DM,Raymond Mhlaba LM,ec Thozamile Madakana Clinic,1 Mbewu Street Tinis Location Fort Beaufort,5 days,Public
Eastern Cape,Buffalo City MM,Buffalo City SD,ec Zingisa NU 5 Clinic,1054 Nu5 A Mdantsane East London,5 days,Public
Eastern Cape,Buffalo City MM,Buffalo City SD,ec Zikhova Clinic,Zikhova Location Tsholomnqa,5 days,Public
Eastern Cape,Buffalo City MM,Buffalo City SD,ec Zanempilo Clinic (Zwelitsha),Zinyaka Village King Williams Town,5 days,Public
Eastern Cape,Buffalo City MM,Buffalo City SD,ec Welcomewood Clinic,Welcomewood Loction Qurhu Primary School,5 days,Public
Eastern Cape,Buffalo City MM,Buffalo City SD,ec Zanempilo Clinic (East London),Zanempilo Clinic Mzamomhle Informal Settlement Gonubie,5 days,Public
Eastern Cape,Buffalo City MM,Buffalo City SD,ec Zwelitsha Zone 5 Clinic,Zwelitsha Zone 5 Clinic Between Magistrates Court And Post Office,5 days,Public
Eastern Cape,C Hani DM,Engcobo LM,ec Mgudu Clinic,Next To Mgudu,5 days,Public
Eastern Cape,C Hani DM,Enoch Mgijima LM,ec Lizo Ngcana Clinic,Daresalam Unfound Location Queenstown,5 days,Public
Eastern Cape,C Hani DM,Enoch Mgijima LM,ec Masakhe Clinic,Masakhe Main Road,5 days,Public
Eastern Cape,C Hani DM,Enoch Mgijima LM,ec Eluxolweni Clinic,"385 Zwide, Hofmeyr",5 days,Public
Eastern Cape,C Hani DM,Enoch Mgijima LM,ec Hofmeyer Clinic,"32 School Street, Hofmeyr",5 days,Public
Eastern Cape,C Hani DM,Enoch Mgijima LM,ec Lesseyton Clinic,"Main Road Village, Queenstown",5 days,Public
Eastern Cape,C Hani DM,Enoch Mgijima LM,ec Sterkstroom Clinic,"13 Le Grange Street, Sterkstroom",5 days,Public
Eastern Cape,C Hani DM,Inxuba Yethemba LM,ec Kwanonzame Old Clinic,"Mjekula Street, Kwanonzame, Middelburg",5 days,Public
Eastern Cape,C Hani DM,Inxuba Yethemba LM,ec Midros Clinic,"River Road, Middleburg",5 days,Public
Eastern Cape,C Hani DM,Inxuba Yethemba LM,ec Kwanonzame New Clinic,"Masango Street, Kwanonzame",5 days,Public
Eastern Cape,C Hani DM,Inxuba Yethemba LM,ec Middelburg Clinic,55 Van Reenen Street Middelburg,5 days,Public
Eastern Cape,Joe Gqabi DM,Elundini LM,ec St Augustine's Clinic,St Augustine AA Maclear 5480,5 days,Public
Eastern Cape,Joe Gqabi DM,Elundini LM,ec Ngxaza Clinic,Ngxaza A/A Mbonisweni Location Maclear 5480,5 days,Public
Eastern Cape,Joe Gqabi DM,Elundini LM,ec Queen Noti Clinic,Ngcele AA Maclear 5480,5 days,Public
Eastern Cape,Joe Gqabi DM,Elundini LM,ec Ncembu Clinic,Ncembu A/A Ugie 5470,5 days,Public
Eastern Cape,Joe Gqabi DM,Elundini LM,ec Umnga Flats Clinic,Umnga Flats A/A Ugie 5470,5 days,Public
Eastern Cape,Joe Gqabi DM,Elundini LM,ec Seqhobong Clinic,Seqhobong Location Mt Fletcher 4770,5 days,Public
Eastern Cape,Joe Gqabi DM,Elundini LM,ec Bethania Clinic,Bethania A/A Near Bethania Jss Mount Fletcher 4770,5 days,Public
Eastern Cape,Joe Gqabi DM,Elundini LM,ec Mangoloaneng Clinic,PO bag x 1129 Mt Fletcher 4770 Mangoloaneng Location Mt Fletcher,5 days,Public
Eastern Cape,Joe Gqabi DM,Elundini LM,ec Lower Tsitsana Clinic,"Tsitsana AA Lower ,Mount Fletcher 4770",5 days,Public
Eastern Cape,Joe Gqabi DM,Elundini LM,ec Tayler Bequest Gateway Clinic (Elundini),Solomzi location Mount Fletcher 4770,5 days,Public
Eastern Cape,Joe Gqabi DM,Elundini LM,ec Ulundi Clinic,Ulundi A/A Mt Fletcher 4770,5 days,Public
Eastern Cape,Joe Gqabi DM,Elundini LM,ec Kungisizwe Clinic,Ngxaxa Location Mt Fletcher 4770,5 days,Public
Eastern Cape,Joe Gqabi DM,Senqu LM,ec Hillside Clinic (Senqu),Hillside Village Sterkspruit,5 days,Public
Eastern Cape,Joe Gqabi DM,Senqu LM,ec Umlamli Gateway Clinic,Hoita Village Sterkspruit,5 days,Public
Eastern Cape,Joe Gqabi DM,Senqu LM,ec Musong Clinic,Musong Village Next To Community Hall Sterkspruit,5 days,Public
Eastern Cape,Joe Gqabi DM,Senqu LM,ec Palmietfontein Clinic,Storomo Village Palmietfontein,5 days,Public
Eastern Cape,Joe Gqabi DM,Senqu LM,ec Pelandaba Clinic,Blikana A/A Vukuzakhe Pre-School Blikana A/A Sterkspruit,5 days,Public
Eastern Cape,Joe Gqabi DM,Walter Sisulu LM,ec Khayamnandi Clinic,Paka street 5920,5 days,Public
Eastern Cape,Joe Gqabi DM,Walter Sisulu LM,ec Venterstad Clinic,01 Boneschan Street,5 days,Public
Eastern Cape,Joe Gqabi DM,Walter Sisulu LM,ec Poly Clinic,8 Murry Street,5 days,Public
Eastern Cape,Joe Gqabi DM,Walter Sisulu LM,ec Aliwal North Block H Clinic,1842 Ntsoetsanyane street,5 days,Public
Eastern Cape,N Mandela Bay MM,N Mandela B SD,ec Masakhane Clinic (N Mandela Metro),"Nkanjeni Drive, Kuyga, Greenbushes",5 days,Public
Eastern Cape,O Tambo DM,Ingquza Hill LM,ec Mbotyi Clinic,Mbotyi A/A Lusikisiki,5 days,Public
Eastern Cape,O Tambo DM,Ingquza Hill LM,ec Mantlaneni Clinic,Mantlaneni J.S.S Lusikisiki,5 days,Public
Eastern Cape,O Tambo DM,Ingquza Hill LM,ec Xurana Clinic,Xurana A/A Lusikisiki,5 days,Public
Eastern Cape,O Tambo DM,Ingquza Hill LM,ec Khanyayo (Holy Cross) Clinic,Kanyayo Clinic Next To Ngwenyeni J.S.S Lusikisiki,5 days,Public
Eastern Cape,O Tambo DM,Ingquza Hill LM,ec Malangeni Clinic,Kusilahla Near Vukuzenzele Store Lusikisiki,5 days,Public
Eastern Cape,O Tambo DM,Ingquza Hill LM,ec Mpoza Clinic (Lusikisiki),Nomathemba Jss Road Mpoza A/A Lusikisiki,5 days,Public
Eastern Cape,O Tambo DM,Ingquza Hill LM,ec KTC Clinic,Mhlwazini Location Next To Zwelibongile Sss,5 days,Public
Eastern Cape,O Tambo DM,Ingquza Hill LM,ec Magwa Clinic,"Magwa Tea, Near Magwas.P.School Lusikisiki",5 days,Public
Eastern Cape,O Tambo DM,Ingquza Hill LM,ec Palmerton Clinic,"Ntsimbini Location,Palmerton Senior Secondary School",5 days,Public
Eastern Cape,O Tambo DM,Ingquza Hill LM,ec Lusikisiki Village Clinic (Qaukeni),Lusikisiki Village Clinic Main Road (Opposite Total Garage),5 days,Public
Eastern Cape,O Tambo DM,Ingquza Hill LM,ec St Elizabeth's Gateway Clinic,Main Street Next To St Elizabeth Hospital Lusiksiki,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Mpunzana Clinic,Next To Dumalisile Junior Secondary School Mtatha,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Hlabatshane Clinic,Hlabatshane Clinic Hlabatshane Aa Mqanduli,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Centuli Clinic,Centuli location Mthatha,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Zitulele Gateway Clinic,Zitulele Gateway Mqanduli,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Nzulwini Clinic,Hole In The Wall Mqanduli,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Zidindi Clinic,Zidindi Location Next To Crocodile Shop,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Tshezi Clinic,Nenga A/A Mqanduli Mt Paket,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Sitebe Clinic,Next To Buwa Jss Mthatha,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Sakhela Clinic,Sakhela location Mthatha,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Tyelebana Clinic,Tyelebana Clinic Pb X 28 Mthatha,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Mqhekezweni Clinic,Mqhekzweni Location Mthatha,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Mahlungulu Clinic (KSD),Ngubechanti Location Mqanduli,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Upper Xongora Clinic,Upper Xongora Aa Mthatha 5099,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Mpeko Clinic,Mpeko Clinic Mpeko Location Mthatha Mthatha,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Mapuzi Clinic,Mapuza Clinic Mqanduli,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec SOS Clinic,22 Amozon Sidwadwa Mthatha,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Ntshele Clinic,Zimbane A/A Mthatha,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Sangoni Clinic,Ridge Location Mthatha,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Bityi Clinic,Bityi Police Station Bambilanga High School Bokisiwi Loc Mthatha,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Maxwele Clinic,Maxwele Clinic Zimbane Admin Area Mthatha,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Xhwili Clinic,Xhwili A/A Lukhwethu Location Viedgesville,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Ngqwarha Clinic,Nxele Location Mqanduli,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Ngcengane Clinic,Ngcengane Clinic Next To Zwelonke Store Mthatha,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Tabase Clinic,Tabase Mission Mthatha,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Qunu Clinic,Qunu Location Next To Sasol Garage,5 days,Public
Eastern Cape,O Tambo DM,King Sabata Dalindyebo LM,ec Qokolweni Clinic,Qokolweni A/A Near Qolkolweni Community Hall Mthatha,5 days,Public
Eastern Cape,O Tambo DM,Mhlontlo LM,ec St Lucy's Gateway Clinic,"St Cuthberts Mission, Tsolo, 5170",5 days,Public
Eastern Cape,O Tambo DM,Mhlontlo LM,ec Langeni Clinic,Langeni Village Next To Merensky Industry,5 days,Public
Eastern Cape,O Tambo DM,Mhlontlo LM,ec Mjika Clinic,Next To Ngubesizwe Jss,5 days,Public
Eastern Cape,O Tambo DM,Mhlontlo LM,ec Ezingcuka Clinic,Zingcuka A/A Tsolo Near Jafta Shop Tsolo,5 days,Public
Eastern Cape,O Tambo DM,Mhlontlo LM,ec Tina Falls Clinic,"161 Tiger River, Thaba Nchu",5 days,Public
Eastern Cape,O Tambo DM,Mhlontlo LM,ec Ngwemnyama Clinic,Ngwemnyama A/A Ngwemnyama,5 days,Public
Eastern Cape,O Tambo DM,Mhlontlo LM,ec Mdyobe Clinic,Mdyobe Clinic (Next To Ngqongo A/A) Mt Frere,5 days,Public
Eastern Cape,O Tambo DM,Mhlontlo LM,ec Mhlahlane Clinic,Mhlahlane Forest Next To Merensky Office Mthatha,5 days,Public
Eastern Cape,O Tambo DM,Mhlontlo LM,ec Mbalisweni Clinic,Nogaya A/A Qumbu,5 days,Public
Eastern Cape,O Tambo DM,Nyandeni LM,ec Libode Clinic,Libode Village,5 days,Public
Eastern Cape,O Tambo DM,Nyandeni LM,ec Nkanga Clinic,Nkanga Clinic Nkanga Aa Libode,5 days,Public
Eastern Cape,O Tambo DM,Nyandeni LM,ec Mangcwanguleni Clinic,Mangcwanguleni Libode,5 days,Public
Eastern Cape,O Tambo DM,Nyandeni LM,ec Mgwenyane Clinic,Mgwenyane Aa Libode,5 days,Public
Eastern Cape,O Tambo DM,Nyandeni LM,ec Maqanyeni Clinic,Maqenyeni Location Ngqeleni,5 days,Public
Eastern Cape,O Tambo DM,Nyandeni LM,ec Nontsikelelo Biko Clinic,Nontsikelelo Biko Clinic Rainy A/A Libode 5160 Near Rainy Junior Secondary School,5 days,Public
Eastern Cape,O Tambo DM,Nyandeni LM,ec Mampondomiseni Clinic,Unicercity Loc Mampondomseni A/A Libode,5 days,Public
Eastern Cape,O Tambo DM,Nyandeni LM,ec St Barnabas Gateway Clinic,Port St Johns Road Libode,5 days,Public
Eastern Cape,O Tambo DM,Nyandeni LM,ec Double Falls Clinic,Ngqongweni A/A Libode,5 days,Public
Eastern Cape,O Tambo DM,Nyandeni LM,ec Ndanya Clinic,Ndanya Clinic Mchonco Loc Libode,5 days,Public
Eastern Cape,O Tambo DM,Nyandeni LM,ec Cwele Clinic,Behind Cwele Roman Catholic Church Ngqeleni,5 days,Public
Eastern Cape,O Tambo DM,Nyandeni LM,ec Old Bunting Clinic,Dibandlela Tavern (Nquba) Mlaza,5 days,Public
Eastern Cape,O Tambo DM,Nyandeni LM,ec Nyandeni Clinic,"Nyandeni A/A, Ndamase Great Place, Libode",5 days,Public
Eastern Cape,O Tambo DM,Port St Johns LM,ec Mzintlava Clinic,Near Mzintlava Shop Mzintlava A/A Bambisana Hospital,5 days,Public
Eastern Cape,O Tambo DM,Port St Johns LM,ec Buchele Clinic,Buchele Location Near Buchele J.S.S,5 days,Public
Eastern Cape,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Baviaans Clinic,Cnr Sarel Cilliers En Phillpotts St Steytlerville,5 days,Public
Eastern Cape,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Willowmore Clinic,Knysna Street Willowmore,5 days,Public
Eastern Cape,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Rietbron Clinic,Corner Of Kerk And Vrede Street Rietbron,5 days,Public
Eastern Cape,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Wongalethu Clinic,Main Road Klipplaat,5 days,Public
Eastern Cape,Sarah Baartman DM,Dr B NaudÂ‚ LM,ec Brug Straat Clinic (Jansenville),3 Brug Street Jansenville,5 days,Public
Eastern Cape,Sarah Baartman DM,Kouga LM,ec Settlers day Hospital,1 Cobden,5 days,Public
Eastern Cape,Sarah Baartman DM,Kou-Kamma LM,ec Krakeel Clinic,Skoolstraat Opposite Community Hall,5 days,Public
Eastern Cape,Sarah Baartman DM,Kou-Kamma LM,ec Louterwater Clinic,Hillside Str. Louterwater,5 days,Public
Eastern Cape,Sarah Baartman DM,Kou-Kamma LM,ec Misgund Clinic,Hoofstraat Misgund Misgund,5 days,Public
Eastern Cape,Sarah Baartman DM,Makana LM,ec Virginia Shumane Clinic,"T Street, Tantyi Location, Grahamstown",5 days,Public
Eastern Cape,Sarah Baartman DM,Makana LM,ec Kwa-Nonzwakazi Clinic,20 Recreation Street Alicedale,5 days,Public
Eastern Cape,Sarah Baartman DM,Makana LM,ec Raymond Mhlaba Clinic,Behren Street Riebeeck East,5 days,Public
Eastern Cape,Sarah Baartman DM,Makana LM,ec Joza Clinic,"Nompondo Street, Grahamstown",5 days,Public
Eastern Cape,Sarah Baartman DM,Makana LM,ec Raglan Road Clinic,Dr Jacob Zuma Drive Grahamstown,5 days,Public
Eastern Cape,Sarah Baartman DM,Makana LM,ec Middle Terrace Clinic,Middle Terrace Streetgrahamstown,5 days,Public
Eastern Cape,Sarah Baartman DM,Makana LM,ec Anglo African Street Clinic,3 Huntley Street Grahamstown,5 days,Public
Eastern Cape,Sarah Baartman DM,Makana LM,ec NG Dlukulu Clinic,5668 Sani Street Ext 7 Grahamstown,5 days,Public
Eastern Cape,Sarah Baartman DM,Ndlambe LM,ec Pal 1 Clinic,3305 Joe Slovo Ndlovini Port Alfred,5 days,Public
Eastern Cape,Sarah Baartman DM,Ndlambe LM,ec Nkwenkwezi Clinic,"1557 Runeli Drive, Port Afred",5 days,Public
Eastern Cape,Sarah Baartman DM,Ndlambe LM,ec Port Alfred Clinic,Southwell Road Port Alfred,5 days,Public
Eastern Cape,Sarah Baartman DM,Ndlambe LM,ec Pal 2 Clinic,"1572 Fani Street, Eqolweni Location",5 days,Public
Eastern Cape,Sarah Baartman DM,Ndlambe LM,ec Station Hill Clinic,10 Tern Street Station Hill,5 days,Public
Eastern Cape,Sarah Baartman DM,Ndlambe LM,ec Alexandria Clinic,"1 Sending Street, Wentzel Park",5 days,Public
Eastern Cape,Sarah Baartman DM,Ndlambe LM,ec Kwa-Nonqubela Clinic,"A Street, Alexandria",5 days,Public
Eastern Cape,Sarah Baartman DM,Sundays River Valley LM,ec Kwazenzele Clinic,Griffithz Road Paterson,5 days,Public
Eastern Cape,Sarah Baartman DM,Sundays River Valley LM,ec Addo Clinic,Main Street Addo 6105,5 days,Public
Eastern Cape,Sarah Baartman DM,Sundays River Valley LM,ec Lukhanyiso Clinic,Duka Street Nomathamsanqa Addo,5 days,Public
Eastern Cape,Sarah Baartman DM,Sundays River Valley LM,ec Moses Mabida Clinic,Maseti Road 459 Moses Mabida Kirkwood,5 days,Public
Eastern Cape,Sarah Baartman DM,Sundays River Valley LM,ec Bergsig Clinic,CO Tarentaal & Arend Street Bergsig Kirkwood,5 days,Public
Eastern Cape,Sarah Baartman DM,Sundays River Valley LM,ec Kirkwood Clinic,47 White Road Kirkwood,5 days,Public
