date,YYYYMMDD,EC,FS,GP,KZN,LP,MP,NC,NW,WC,total,source
2021-12-11,20211211,3106484,1562115,7475147,4162811,2713592,1593247,567448,1669542,4370380,27220766,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-12,20211212,3106967,1562277,7478967,4165882,2713667,1594295,567980,1671692,4370904,27232631,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-13,20211213,3115980,1567506,7510033,4179001,2725402,1600058,570377,1676942,4384662,27329961,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-14,20211214,3124353,1574268,7547504,4192951,2735775,1606401,572968,1684197,4399788,27438205,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-15,20211215,3132367,1579943,7581910,4206224,2746201,1612460,574898,1690722,4414398,27539123,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-16,20211216,3132807,1580013,7585230,4209355,2749381,1612936,574987,1692770,4414847,27552326,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-17,20211217,3136901,1583768,7612853,4219153,2755373,1616989,576170,1697648,4426690,27625545,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-18,20211218,3137598,1584162,7619976,4222920,2756063,1618128,576390,1699311,4428140,27642688,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-19,20211219,3137696,1584226,7622104,4224772,2756149,1618286,576511,1700444,4428400,27648588,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-20,20211220,3142257,1588642,7650479,4234582,2764174,1624035,577564,1705428,4437047,27724208,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-21,20211221,3146307,1593257,7675903,4243289,2771798,1628546,578566,1709875,4444692,27792233,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-22,20211222,3149760,1597493,7697402,4251464,2779139,1632503,579449,1713727,4452017,27852954,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-23,20211223,3151963,1600483,7713366,4257348,2784026,1635371,580017,1716437,4457993,27897004,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-24,20211224,3152979,1601750,7722846,4259881,2786236,1636506,580222,1717807,4461201,27919428,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-25,20211225,3153026,1601768,7723044,4260012,2786243,1636514,,1718113,4461212,27920154,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-26,20211226,3153047,1601770,7723365,4260161,2786268,1636574,580235,1718703,4461226,27921349,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-27,20211227,3153249,1601786,7724576,4260803,2786566,1636865,580243,1719253,4461368,27924709,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-28,20211228,3156367,1605871,7744792,4269403,2792985,1640440,581130,1722367,4468902,27982257,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-29,20211229,3159876,1609732,7763497,4278025,2799327,1644368,581811,1725583,4476169,28038388,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-30,20211230,3162637,1612345,7778034,4285551,2804737,1648015,582380,1728020,4482636,28084355,https://sacoronavirus.co.za/latest-vaccine-statistics/
2021-12-31,20211231,3164066,1613194,7785781,4288455,2806803,1649147,582573,1729202,4486438,28105659,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-01,20220101,3164075,1613197,7786059,4288617,2806860,1649183,582625,1729410,4486471,28106497,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-02,20220102,3164098,1613217,7786431,4288943,2806871,1649224,,1729842,4486515,28107766,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-03,20220103,3167522,1616813,7808803,4300298,2813813,1653576,583412,1733086,4493122,28170445,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-04,20220104,3172137,1620989,7833039,4312267,2821682,1658179,584514,1736879,4500679,28240365,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-05,20220105,3176924,1626619,7859166,4324401,2830515,1663910,585649,1741299,4508981,28317464,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-06,20220106,3182587,1633087,7881935,4337954,2839665,1669557,587003,1745961,4518258,28396007,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-07,20220107,3187433,1639736,7911889,4352539,2848227,1675565,588329,1750303,4528243,28482264,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-08,20220108,3187846,1640297,7919073,4356705,2849137,1677598,588500,1751893,4529772,28500821,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-09,20220109,3187883,1640315,7920927,4358474,2849273,1677820,588550,1753190,4529841,28506273,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-10,20220110,3195148,1647015,7954715,4375870,2861808,1684635,590129,1758563,4542385,28610268,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-11,20220111,3203757,1654036,7986740,4393184,2873684,1690659,591963,1763994,4555847,28713864,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-12,20220112,3212902,1659025,8015293,4410193,2880377,1695012,594111,1768402,4569574,28804889,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-13,20220113,3222744,1664138,8041941,4426470,2887807,1699469,596413,1772985,4583324,28895291,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-14,20220114,3230757,1669362,8072458,4442732,2894407,1704176,598801,1777572,4597324,28987589,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-15,20220115,3231541,1670078,8081993,4447773,2895213,1705828,598976,1779298,4599568,29010268,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-16,20220116,3231664,1670082,8083700,4449479,2895263,1705925,599058,1779928,4599769,29014868,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-17,20220117,3241495,1675100,8112629,4464216,2903181,1710069,600732,1784583,4614486,29106491,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-18,20220118,3251245,1680595,8140459,4478203,2911278,1714588,602675,1789652,4628111,29196806,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-19,20220119,3257457,1685988,8162746,4490332,2919739,1719083,603932,1794687,4641106,29275070,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-20,20220120,3264326,1691846,8189823,4502555,2928255,1724404,605100,1800240,4654568,29361117,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-21,20220121,3270296,1697989,8219563,4515343,2935162,1729562,606297,1805887,4668574,29448673,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-22,20220122,3271250,1698734,8229047,4519852,2936402,1731046,606495,1808142,4670650,29471618,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-23,20220123,3271422,1698806,8230917,4521326,2936478,1731590,606572,1809157,4670858,29477126,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-24,20220124,3278618,1704382,8257269,4535052,2945161,1736567,607703,1813973,4682633,29561358,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-25,20220125,3287201,1710287,8283474,4548366,2953707,1741585,608908,1819229,4694795,29647552,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-26,20220126,3295451,1716561,8308899,4561606,2962081,1746942,610081,1825124,4706368,29733113,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-27,20220127,3303788,1721847,8330838,4572784,2969489,1751631,611315,1830351,4717480,29809523,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-28,20220128,3310286,1727554,8357284,4585185,2976426,1756987,612792,1835167,4729157,29890838,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-29,20220129,3311125,1728733,8365274,4589328,2977150,1759243,612931,1836845,4731197,29911826,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-30,20220130,3311235,1728818,8367115,4590831,2977243,1759927,612989,1837379,4731338,29916875,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-01-31,20220131,3317599,1733099,8389864,4602682,2984931,1764635,613740,1841565,4741051,29989166,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-01,20220201,3324475,1738135,8413153,4614145,2992014,1769401,614723,1846173,4750441,30062660,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-02,20220202,3332071,1743378,8436157,4624725,2999612,1773616,615784,1850902,4760082,30136327,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-03,20220203,3339324,1747856,8457103,4634689,3006875,1778023,616719,1855573,4769144,30205306,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-04,20220204,3344974,1752485,8477817,4645428,3012132,1782436,617904,1859702,4779663,30272541,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-05,20220205,3345714,1753370,8484440,4648620,3012967,1783785,618087,1860846,4781319,30289148,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-06,20220206,3345905,1753406,8486072,4649890,3013033,1783905,618202,1861723,4781453,30293589,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-07,20220207,3353079,1758107,8505752,4660194,3019197,1788082,618905,1865455,4789694,30358465,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-08,20220208,3359833,1762952,8526743,4671896,3025845,1792128,619856,1869878,4798882,30428013,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-09,20220209,3367438,1768031,8548688,4684344,3032521,1795582,620888,1874967,4807576,30500035,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-10,20220210,3376145,1772231,8569970,4696953,3038484,1799740,621696,1880134,4816120,30571473,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-11,20220211,3382729,1777218,8592125,4709190,3043487,1803640,622871,1884675,4826125,30642060,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-12,20220212,3383595,1778537,8598027,4712484,3044242,1804712,622995,1885997,4827942,30658531,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-13,20220213,3383653,1778554,8599217,4713597,3044439,1804925,623100,1886823,4828042,30662350,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-14,20220214,3390230,1783475,8621302,4725064,3050753,1808914,623858,1891197,4836834,30731627,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-15,20220215,3397915,1789055,8643737,4738406,3057234,1813241,624738,1896079,4845731,30806136,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-16,20220216,3405966,1795163,8666461,4752253,3064935,1817640,625655,1901131,4855567,30884771,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-17,20220217,3414998,1801839,8688604,4765652,3072066,1822065,626739,1906063,4865555,30963581,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-18,20220218,3421732,1808264,8713243,4778147,3077635,1826541,627981,1911024,4875905,31040472,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-19,20220219,3422592,1809160,8720535,4781549,3078548,1827984,628235,1913101,4877545,31059249,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-20,20220220,3422765,1809234,8723322,4782754,3078702,1828619,628411,1914200,4877647,31065654,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-21,20220221,3430432,1815436,8747061,4796224,3085834,1832884,629409,1918396,4886739,31142415,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-22,20220222,3439008,1823173,8772123,4811467,3092929,1838072,630544,1923504,4897372,31228192,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-23,20220223,3448165,1830732,8799901,4828170,3101975,1843683,632080,1929090,4909812,31323608,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-24,20220224,3456971,1838438,8826245,4844172,3109174,1849101,633818,1934500,4922088,31414507,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-25,20220225,3465480,1846302,8854913,4861806,3116097,1855214,635498,1940100,4936326,31511736,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-26,20220226,3466484,1847032,8863677,4866413,3117231,1858003,635736,1942676,4938513,31535765,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-27,20220227,3466649,1847035,8865579,4867909,3117370,1859226,635884,1944436,4938722,31542810,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-02-28,20220228,3477257,1854958,8899450,4886002,3126302,1865940,637381,1951364,4954240,31652894,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-01,20220301,3488355,1863220,8931786,4903923,3134717,1871473,639266,1957948,4969683,31760371,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-02,20220302,3500350,1872272,8963312,4922443,3145136,1877071,641009,1964958,4985060,31871611,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-03,20220303,3511566,1880799,8996913,4942245,3155342,1884019,642725,1972326,5001345,31987280,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-04,20220304,3520403,1887543,9030957,4961345,3163703,1890835,644587,1979050,5018795,32097218,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-05,20220305,3522040,1888368,9042484,4966465,3164786,1892354,644824,1980969,5021354,32123644,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-06,20220306,3522211,1888568,9046617,4967913,3164835,1892553,644860,1982107,5021666,32131330,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-07,20220307,3532255,1895934,9076360,4984506,3173109,1899273,646292,1987883,5034667,32230279,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-08,20220308,3542594,1903395,9106253,5001520,3181313,1905611,647825,1994329,5048707,32331547,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-09,20220309,3553968,1910640,9130391,5017265,3189967,1912271,649333,2000573,5063524,32427932,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-10,20220310,3564638,1918446,9158175,5033516,3198097,1919209,650868,2007098,5077178,32527225,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-11,20220311,3574203,1926037,9187392,5049176,3204592,1925248,652684,2013282,5091292,32623906,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-12,20220312,3575413,1926850,9195492,5053489,3205112,1926541,652870,2015654,5093541,32644962,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-13,20220313,3575519,1926852,9197295,5054760,3205166,1926923,653052,2017258,5093667,32650492,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-14,20220314,3583487,1932582,9222128,5068402,3213221,1933320,654289,2021726,5105180,32734335,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-15,20220315,3594601,1938906,9247617,5080046,3221218,1939163,655824,2027675,5117188,32822238,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-16,20220316,3605563,1945723,9273341,5093842,3229485,1945999,657794,2033840,5129722,32915309,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-17,20220317,3616939,1952009,9294724,5106577,3236707,1951727,659431,2038345,5142348,32998807,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-18,20220318,3625322,1957619,9319670,5120168,3242544,1956803,660985,2042698,5155610,33081419,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-19,20220319,3626229,1958026,9327264,5123740,3243193,1957917,661096,2044341,5157778,33099584,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-20,20220320,3626383,1958037,9329104,5124982,3243278,1958068,661171,2045900,5157867,33104790,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-21,20220321,3628049,1958122,9331321,5126616,3243684,1958319,661227,2047071,5158129,33112538,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-22,20220322,3638304,1963719,9354569,5139039,3251987,1963909,662336,2052513,5168463,33194839,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-23,20220323,3649617,1969517,9382158,5152462,3261830,1970090,663729,2058812,5181128,33289343,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-24,20220324,3660375,1975254,9408803,5165423,3271628,1976153,665409,2065413,5192468,33380926,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-25,20220325,3666757,1981509,9434119,5177449,3278574,1981295,666774,2070180,5204303,33460960,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-26,20220326,3667694,1982143,9441960,5181273,3279144,1982396,667089,2071701,5206477,33479877,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-27,20220327,3667975,1982176,9443695,5182362,3279211,1982715,667268,2072768,5206582,33484752,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-28,20220328,3676404,1988027,9466859,5193511,3287690,1988714,668286,2077705,5216675,33563871,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-29,20220329,3685663,1994611,9491007,5205064,3296907,1994680,669529,2083333,5225692,33646486,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-30,20220330,3695156,2001363,9515950,5216808,3306891,2000403,670843,2089174,5236025,33732613,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-03-31,20220331,3703864,2007293,9539406,5227439,3315396,2006149,672102,2094299,5246776,33812724,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-01,20220401,3709957,2011676,9560198,5236671,3321322,2010799,673084,2098291,5256129,33878127,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-02,20220402,3710612,2012014,9565954,5239256,3321822,2011404,673226,2099442,5257488,33891218,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-03,20220403,3710793,2012057,9566538,5240079,3321897,2011439,673240,2100035,5257605,33893683,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-04,20220404,3717026,2016165,9580672,5248528,3328174,2014825,673980,2103164,5264718,33947252,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-05,20220405,3723740,2020084,9595630,5256913,3334308,2019213,674802,2106842,5271111,34002643,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-06,20220406,3731690,2024905,9610379,5266819,3340568,2024188,675972,2111505,5277541,34063567,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-07,20220407,3739766,2029489,9625950,5276879,3346205,2030238,676914,2116274,5284243,34125958,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-08,20220408,3746446,2034218,9641738,5287530,3351220,2035571,678324,2121058,5292214,34188319,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-09,20220409,3748878,2034862,9648081,5291778,3352134,2037036,679214,2122637,5295079,34209699,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-10,20220410,3749628,2034882,9649093,5293553,3352374,2037498,679500,2123619,5295851,34215998,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-11,20220411,3756292,2037760,9659461,5299138,3358549,2042634,680163,2127234,5301580,34262811,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-12,20220412,3763384,2042021,9674305,5304856,3366157,2048922,681206,2131626,5307454,34319931,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-13,20220413,3768957,2047314,9688705,5312426,3373632,2054491,682135,2135857,5313248,34376765,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-14,20220414,3772516,2050225,9701366,5316800,3377690,2058150,682588,2138421,5318536,34416292,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-15,20220415,3772997,2050288,9702141,5317410,3377855,2058377,682589,2139028,5318584,34419269,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-16,20220416,3773386,2050443,9704008,5318196,3378113,2058511,682679,2139680,5319115,34424131,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-17,20220417,3773647,2050515,9704340,5318491,3378161,2058577,,2140126,5319148,34425684,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-18,20220418,3773901,2050614,9705752,5319114,3378332,2058678,682703,2141252,5319255,34429601,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-19,20220419,3779426,2054351,9718726,5326123,3383248,2063049,683379,2144565,5324390,34477257,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-20,20220420,3787605,2058561,9732195,5335199,3389432,2068203,684292,2148368,5329888,34533743,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-21,20220421,3796272,2062615,9745411,5344801,3395760,2072981,685260,2152495,5335493,34591088,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-22,20220422,3803359,2066713,9759664,5353821,3400317,2078416,686428,2156545,5341914,34647177,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-23,20220423,3803978,2066981,9764434,5355903,3401054,2079076,686492,2157632,5342999,34658549,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-24,20220424,3804238,2067004,9765570,5357123,3401250,2079180,686494,2158502,5343047,34662408,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-25,20220425,3812362,2071681,9779557,5365629,3408863,2083829,687582,2162241,5348615,34720359,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-26,20220426,3822106,2076931,9796725,5375736,3415943,2089216,688976,2166817,5355336,34787786,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-27,20220427,3823797,2077097,9800000,5377577,3416660,2089796,689140,2168339,5355711,34798117,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-28,20220428,3833586,2082682,9815910,5388690,3425074,2094728,690488,2172957,5362557,34866672,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-29,20220429,3840377,2086901,9831827,5397594,3431491,2099177,691564,2176350,5369807,34925088,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-04-30,20220430,3840956,2087351,9836528,5399954,3432062,2099646,691624,2177419,5370905,34936445,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-01,20220501,3841168,2087420,9837717,5400678,3432207,2099687,691626,2178417,5370950,34939870,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-02,20220502,3841728,2087549,9839640,5401906,3432544,2099824,691706,2179513,5371203,34945613,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-03,20220503,3849341,2092059,9852667,5409799,3440084,2104025,692786,2182717,5376392,34999870,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-04,20220504,3857456,2097033,9866026,5418969,3447752,2108401,693913,2186082,5381955,35057587,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-05,20220505,3866693,2101556,9878378,5428772,3455346,2113216,695307,2189754,5387322,35116344,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-06,20220506,3874460,2105523,9891635,5437858,3461181,2117178,696473,2192655,5392818,35169781,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-07,20220507,3875192,2105895,9896193,5439990,3461948,2117694,696519,2193789,5393881,35181101,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-08,20220508,3875345,2105904,9896750,5440639,3462174,2117807,696557,2194531,5393928,35183635,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-09,20220509,3883639,2109866,9907996,5450149,3469440,2122214,697693,2198244,5398762,35238003,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-10,20220510,3893898,2113624,9921263,5460532,3477388,2126637,698800,2202141,5403743,35298026,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-11,20220511,3904431,2117987,9935333,5471533,3486175,2131307,700583,2205851,5408709,35361909,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-12,20220512,3913969,2122035,9949077,5482194,3494918,2136464,702095,2209872,5413907,35424531,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-13,20220513,3921097,2125727,9962601,5490939,3500784,2140834,703411,2213455,5419477,35478325,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-14,20220514,3921817,2126028,9966689,5492976,3501407,2141130,703558,2214465,5420488,35488558,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-15,20220515,3922054,2126041,9967914,5494396,3501649,2141170,703574,2215278,5420568,35492644,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-16,20220516,3930401,2129659,9979575,5505998,3508845,2145003,704823,2218451,5425194,35547949,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-17,20220517,3939687,2134161,9991642,5520814,3516814,2148978,706693,2221822,5430321,35610932,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-18,20220518,3949060,2138341,10004061,5537007,3524006,2153244,708282,2225054,5434860,35673915,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-19,20220519,3958762,2141925,10016848,5553142,3531732,2158238,709730,2228279,5438729,35737385,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-20,20220520,3964634,2144855,10028816,5566611,3536997,2161955,710721,2230923,5444056,35789568,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-21,20220521,3965274,2145114,10031420,5568745,3537282,2162260,710849,2231414,5444970,35797328,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-22,20220522,3965452,2145139,10032193,5570074,3537366,2162362,710968,2232148,5445023,35800725,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-23,20220523,3973246,2148439,10042732,5578778,3543467,2165657,712328,2234778,5448682,35848107,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-24,20220524,3982358,2152284,10053958,5588754,3550436,2169915,713914,2237854,5452666,35902139,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-25,20220525,3989817,2156194,10065786,5599958,3557863,2173678,715643,2240804,5456857,35956600,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-26,20220526,3997277,2160276,10076765,5609591,3565856,2178851,717119,2244001,5460746,36010482,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-27,20220527,4002145,2163807,10087162,5617942,3571063,2182472,718375,2246852,5465043,36054861,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-28,20220528,4002997,2164099,10090471,5619430,3571571,2182835,718414,2247833,5465883,36063533,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-29,20220529,4003506,2164100,10091352,5620096,3571788,2182873,718478,2248911,5465952,36067056,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-30,20220530,4010025,2166800,10100046,5627832,3577970,2186905,719733,2251132,5469034,36109477,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-05-31,20220531,4016123,2169472,10108469,5635782,3583981,2190853,720706,2253370,5472418,36151174,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-06-01,20220601,4022217,2172422,10116367,5643599,3590604,2195563,721732,2255531,5475713,36193748,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-06-02,20220602,4028440,2175583,10124491,5651150,3596736,2199387,722779,2257690,5479139,36235395,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-06-03,20220603,4032576,2178314,10133274,5657365,3602148,2202690,723929,2259444,5483026,36272766,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-06-04,20220604,4032863,2178431,10135803,5658682,3602862,2202987,723972,2260106,5483626,36279332,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-06-05,20220605,4032904,2178437,10136136,5659279,3602937,2203060,723973,2260675,5483664,36281065,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-06-06,20220606,4038197,2181197,10143453,5665758,3607684,2206479,724940,2262702,5486687,36317097,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-06-07,20220607,4044344,2183827,10151174,5673177,3613413,2209732,726090,2264994,5490167,36356918,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-06-08,20220608,4050913,2186611,10158829,5681320,3619762,2213125,727345,2267447,5493957,36399309,https://sacoronavirus.co.za/latest-vaccine-statistics/
2022-06-09,20220609,4057299,2189228,10166786,5688566,3625070,2216645,728624,2269724,5497596,36439538,https://sacoronavirus.co.za/latest-vaccine-statistics/
